Sr. No.,Restaurant ID,Country Code,City,Has Table booking,Has Online delivery,Service_Availability,,,,,,,
112,17293897,216,Athens,No,No,No_Service_Available,,,,,,,
113,17293273,216,Athens,No,No,No_Service_Available,,,,,,,
114,17293870,216,Athens,No,No,No_Service_Available,,,,,,,
115,17293877,216,Athens,No,No,No_Service_Available,,,,,,,
116,17293890,216,Athens,No,No,No_Service_Available,,,,,,,
117,17293915,216,Athens,No,No,No_Service_Available,,,,,,,
118,17293422,216,Athens,No,No,No_Service_Available,,,,,,,
119,17293873,216,Athens,No,No,No_Service_Available,,,,,,,
120,17294014,216,Athens,No,No,No_Service_Available,,,,,,,
121,17294556,216,Augusta,No,No,No_Service_Available,,,,,,,
122,17294607,216,Augusta,No,No,No_Service_Available,,,,,,,
123,17294279,216,Augusta,No,No,No_Service_Available,,,,,,,
124,17294300,216,Augusta,No,No,No_Service_Available,,,,,,,
125,17295215,216,Augusta,No,No,No_Service_Available,,,,,,,
126,17295028,216,Augusta,No,No,No_Service_Available,,,,,,,
127,17294642,216,Augusta,No,No,No_Service_Available,,,,,,,
128,17295109,216,Augusta,No,No,No_Service_Available,,,,,,,
129,17294441,216,Augusta,No,No,No_Service_Available,,,,,,,
130,17294552,216,Augusta,No,No,No_Service_Available,,,,,,,
131,17294565,216,Augusta,No,No,No_Service_Available,,,,,,,
132,17294623,216,Augusta,No,No,No_Service_Available,,,,,,,
133,17294712,216,Augusta,No,No,No_Service_Available,,,,,,,
134,17295033,216,Augusta,No,No,No_Service_Available,,,,,,,
135,17295069,216,Augusta,No,No,No_Service_Available,,,,,,,
136,17294261,216,Augusta,No,No,No_Service_Available,,,,,,,
137,17295115,216,Augusta,No,No,No_Service_Available,,,,,,,
138,17294836,216,Augusta,No,No,No_Service_Available,,,,,,,
139,17294850,216,Augusta,No,No,No_Service_Available,,,,,,,
140,17294883,216,Augusta,No,No,No_Service_Available,,,,,,,
141,16608864,14,Balingup,No,No,No_Service_Available,,,,,,,
142,16604911,14,Beechworth,No,No,No_Service_Available,,,,,,,
143,17303465,216,Boise,No,No,No_Service_Available,,,,,,,
144,17303642,216,Boise,No,No,No_Service_Available,,,,,,,
145,17303670,216,Boise,No,No,No_Service_Available,,,,,,,
146,17303545,216,Boise,No,No,No_Service_Available,,,,,,,
147,17303655,216,Boise,No,No,No_Service_Available,,,,,,,
148,17304691,216,Boise,No,No,No_Service_Available,,,,,,,
149,17303478,216,Boise,No,No,No_Service_Available,,,,,,,
150,17303480,216,Boise,No,No,No_Service_Available,,,,,,,
151,17304733,216,Boise,No,No,No_Service_Available,,,,,,,
152,17303646,216,Boise,No,No,No_Service_Available,,,,,,,
153,17304929,216,Boise,No,No,No_Service_Available,,,,,,,
154,17303684,216,Boise,No,No,No_Service_Available,,,,,,,
155,17303772,216,Boise,No,No,No_Service_Available,,,,,,,
156,17305123,216,Boise,No,No,No_Service_Available,,,,,,,
157,17303787,216,Boise,No,No,No_Service_Available,,,,,,,
158,17303990,216,Boise,No,No,No_Service_Available,,,,,,,
159,17304741,216,Boise,No,No,No_Service_Available,,,,,,,
160,17304726,216,Boise,No,No,No_Service_Available,,,,,,,
161,17304486,216,Boise,No,No,No_Service_Available,,,,,,,
162,17304533,216,Boise,No,No,No_Service_Available,,,,,,,
163,17316233,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
164,17315883,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
165,17315995,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
166,17316018,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
167,17316038,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
168,17316771,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
169,17316201,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
170,17316208,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
171,17316389,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
172,17316278,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
173,17316744,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
174,17316751,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
175,17316766,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
176,17316743,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
177,17316374,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
178,17316381,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
179,17316802,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
180,17316416,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
181,17316449,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
182,17316603,216,Cedar Rapids/Iowa City,No,No,No_Service_Available,,,,,,,
183,16659169,37,Chatham-Kent,No,No,No_Service_Available,,,,,,,
184,17558684,216,Clatskanie,No,No,No_Service_Available,,,,,,,
185,18366580,216,Cochrane,No,No,No_Service_Available,,,,,,,
186,17330755,216,Columbus,No,No,No_Service_Available,,,,,,,
187,17330611,216,Columbus,No,No,No_Service_Available,,,,,,,
188,17330609,216,Columbus,No,No,No_Service_Available,,,,,,,
189,17330024,216,Columbus,No,No,No_Service_Available,,,,,,,
190,17330074,216,Columbus,No,No,No_Service_Available,,,,,,,
191,17330185,216,Columbus,No,No,No_Service_Available,,,,,,,
192,17330397,216,Columbus,No,No,No_Service_Available,,,,,,,
193,17330735,216,Columbus,No,No,No_Service_Available,,,,,,,
194,17330676,216,Columbus,No,No,No_Service_Available,,,,,,,
195,17330048,216,Columbus,No,No,No_Service_Available,,,,,,,
196,17330604,216,Columbus,No,No,No_Service_Available,,,,,,,
197,17330087,216,Columbus,No,No,No_Service_Available,,,,,,,
198,17330137,216,Columbus,No,No,No_Service_Available,,,,,,,
199,17330155,216,Columbus,No,No,No_Service_Available,,,,,,,
200,17330309,216,Columbus,No,No,No_Service_Available,,,,,,,
201,17330311,216,Columbus,No,No,No_Service_Available,,,,,,,
202,17330615,216,Columbus,No,No,No_Service_Available,,,,,,,
203,17330638,216,Columbus,No,No,No_Service_Available,,,,,,,
204,17330628,216,Columbus,No,No,No_Service_Available,,,,,,,
205,17330546,216,Columbus,No,No,No_Service_Available,,,,,,,
206,16643459,37,Consort,No,No,No_Service_Available,,,,,,,
207,17334434,216,Dalton,No,No,No_Service_Available,,,,,,,
208,17334348,216,Dalton,No,No,No_Service_Available,,,,,,,
209,17334213,216,Dalton,No,No,No_Service_Available,,,,,,,
210,17334355,216,Dalton,No,No,No_Service_Available,,,,,,,
211,17334212,216,Dalton,No,No,No_Service_Available,,,,,,,
212,17333797,216,Dalton,No,No,No_Service_Available,,,,,,,
213,17334217,216,Dalton,No,No,No_Service_Available,,,,,,,
214,17334273,216,Dalton,No,No,No_Service_Available,,,,,,,
215,17334254,216,Dalton,No,No,No_Service_Available,,,,,,,
216,17333836,216,Dalton,No,No,No_Service_Available,,,,,,,
217,17334197,216,Dalton,No,No,No_Service_Available,,,,,,,
218,17333882,216,Dalton,No,No,No_Service_Available,,,,,,,
219,17334211,216,Dalton,No,No,No_Service_Available,,,,,,,
220,17334390,216,Dalton,No,No,No_Service_Available,,,,,,,
221,17334034,216,Dalton,No,No,No_Service_Available,,,,,,,
222,17334414,216,Dalton,No,No,No_Service_Available,,,,,,,
223,17334082,216,Dalton,No,No,No_Service_Available,,,,,,,
224,17334364,216,Dalton,No,No,No_Service_Available,,,,,,,
225,17334398,216,Dalton,No,No,No_Service_Available,,,,,,,
226,17334219,216,Dalton,No,No,No_Service_Available,,,,,,,
227,17335173,216,Davenport,No,No,No_Service_Available,,,,,,,
228,17335195,216,Davenport,No,No,No_Service_Available,,,,,,,
229,17335225,216,Davenport,No,No,No_Service_Available,,,,,,,
230,17335219,216,Davenport,No,No,No_Service_Available,,,,,,,
231,17334965,216,Davenport,No,No,No_Service_Available,,,,,,,
232,17335189,216,Davenport,No,No,No_Service_Available,,,,,,,
233,17335156,216,Davenport,No,No,No_Service_Available,,,,,,,
234,17334717,216,Davenport,No,No,No_Service_Available,,,,,,,
235,17334752,216,Davenport,No,No,No_Service_Available,,,,,,,
236,18453427,216,Davenport,No,No,No_Service_Available,,,,,,,
237,17793744,216,Davenport,No,No,No_Service_Available,,,,,,,
238,17334679,216,Davenport,No,No,No_Service_Available,,,,,,,
239,17334718,216,Davenport,No,No,No_Service_Available,,,,,,,
240,17334763,216,Davenport,No,No,No_Service_Available,,,,,,,
241,17335158,216,Davenport,No,No,No_Service_Available,,,,,,,
242,17334782,216,Davenport,No,No,No_Service_Available,,,,,,,
243,17334846,216,Davenport,No,No,No_Service_Available,,,,,,,
244,17334853,216,Davenport,No,No,No_Service_Available,,,,,,,
245,17335168,216,Davenport,No,No,No_Service_Available,,,,,,,
246,17334958,216,Davenport,No,No,No_Service_Available,,,,,,,
247,17258496,216,Des Moines,No,No,No_Service_Available,,,,,,,
248,17259395,216,Des Moines,No,No,No_Service_Available,,,,,,,
249,17258350,216,Des Moines,No,No,No_Service_Available,,,,,,,
250,17258136,216,Des Moines,No,No,No_Service_Available,,,,,,,
251,17258522,216,Des Moines,No,No,No_Service_Available,,,,,,,
252,17259958,216,Des Moines,No,No,No_Service_Available,,,,,,,
253,17258036,216,Des Moines,No,No,No_Service_Available,,,,,,,
254,17259368,216,Des Moines,No,No,No_Service_Available,,,,,,,
255,17257684,216,Des Moines,No,No,No_Service_Available,,,,,,,
256,17258154,216,Des Moines,No,No,No_Service_Available,,,,,,,
257,17259340,216,Des Moines,No,No,No_Service_Available,,,,,,,
258,17259243,216,Des Moines,No,No,No_Service_Available,,,,,,,
259,17259625,216,Des Moines,No,No,No_Service_Available,,,,,,,
260,17259169,216,Des Moines,No,No,No_Service_Available,,,,,,,
261,17259166,216,Des Moines,No,No,No_Service_Available,,,,,,,
262,17259335,216,Des Moines,No,No,No_Service_Available,,,,,,,
263,17259248,216,Des Moines,No,No,No_Service_Available,,,,,,,
264,17258552,216,Des Moines,No,No,No_Service_Available,,,,,,,
265,17259550,216,Des Moines,No,No,No_Service_Available,,,,,,,
266,17259200,216,Des Moines,No,No,No_Service_Available,,,,,,,
267,16615894,14,Dicky Beach,No,No,No_Service_Available,,,,,,,
268,17342816,216,Dubuque,No,No,No_Service_Available,,,,,,,
269,17342498,216,Dubuque,No,No,No_Service_Available,,,,,,,
270,17342648,216,Dubuque,No,No,No_Service_Available,,,,,,,
271,17342781,216,Dubuque,No,No,No_Service_Available,,,,,,,
272,17342799,216,Dubuque,No,No,No_Service_Available,,,,,,,
273,17342772,216,Dubuque,No,No,No_Service_Available,,,,,,,
274,17342771,216,Dubuque,No,No,No_Service_Available,,,,,,,
275,17342548,216,Dubuque,No,No,No_Service_Available,,,,,,,
276,17342556,216,Dubuque,No,No,No_Service_Available,,,,,,,
277,17342811,216,Dubuque,No,No,No_Service_Available,,,,,,,
278,17342576,216,Dubuque,No,No,No_Service_Available,,,,,,,
279,17342770,216,Dubuque,No,No,No_Service_Available,,,,,,,
280,17342585,216,Dubuque,No,No,No_Service_Available,,,,,,,
281,17342494,216,Dubuque,No,No,No_Service_Available,,,,,,,
282,17342594,216,Dubuque,No,No,No_Service_Available,,,,,,,
283,17342625,216,Dubuque,No,No,No_Service_Available,,,,,,,
284,17342652,216,Dubuque,No,No,No_Service_Available,,,,,,,
285,17342665,216,Dubuque,No,No,No_Service_Available,,,,,,,
286,17342810,216,Dubuque,No,No,No_Service_Available,,,,,,,
287,17342775,216,Dubuque,No,No,No_Service_Available,,,,,,,
288,16612028,14,East Ballina,No,No,No_Service_Available,,,,,,,
289,17536645,216,Fernley,No,No,No_Service_Available,,,,,,,
290,16613507,14,Flaxton,No,No,No_Service_Available,,,,,,,
291,16607969,14,Forrest,No,No,No_Service_Available,,,,,,,
292,17374405,216,Gainesville,No,No,No_Service_Available,,,,,,,
293,17375060,216,Gainesville,No,No,No_Service_Available,,,,,,,
294,17375164,216,Gainesville,No,No,No_Service_Available,,,,,,,
295,17375078,216,Gainesville,No,No,No_Service_Available,,,,,,,
296,17375049,216,Gainesville,No,No,No_Service_Available,,,,,,,
297,17375077,216,Gainesville,No,No,No_Service_Available,,,,,,,
298,17375141,216,Gainesville,No,No,No_Service_Available,,,,,,,
299,17375198,216,Gainesville,No,No,No_Service_Available,,,,,,,
300,17375180,216,Gainesville,No,No,No_Service_Available,,,,,,,
301,17375072,216,Gainesville,No,No,No_Service_Available,,,,,,,
302,17375047,216,Gainesville,No,No,No_Service_Available,,,,,,,
303,17375074,216,Gainesville,No,No,No_Service_Available,,,,,,,
304,17374921,216,Gainesville,No,No,No_Service_Available,,,,,,,
305,17374819,216,Gainesville,No,No,No_Service_Available,,,,,,,
306,17375089,216,Gainesville,No,No,No_Service_Available,,,,,,,
307,17375214,216,Gainesville,No,No,No_Service_Available,,,,,,,
308,17374951,216,Gainesville,No,No,No_Service_Available,,,,,,,
309,17374978,216,Gainesville,No,No,No_Service_Available,,,,,,,
310,17375104,216,Gainesville,No,No,No_Service_Available,,,,,,,
311,16604358,14,Hepburn Springs,No,No,No_Service_Available,,,,,,,
312,16604896,14,Hepburn Springs,No,No,No_Service_Available,,,,,,,
313,16612550,14,Huskisson,No,No,No_Service_Available,,,,,,,
314,16606299,14,Inverloch,No,No,No_Service_Available,,,,,,,
315,16605794,14,Lakes Entrance,No,No,No_Service_Available,,,,,,,
316,17557488,216,Lakeview,No,No,No_Service_Available,,,,,,,
317,17452342,216,Lincoln,No,No,No_Service_Available,,,,,,,
318,16611498,14,Lorn,No,No,No_Service_Available,,,,,,,
319,17842104,14,Macedon,No,No,No_Service_Available,,,,,,,
320,17501291,216,Macon,No,No,No_Service_Available,,,,,,,
321,17500759,216,Macon,No,No,No_Service_Available,,,,,,,
322,17500767,216,Macon,No,No,No_Service_Available,,,,,,,
323,17500819,216,Macon,No,No,No_Service_Available,,,,,,,
324,17500911,216,Macon,No,No,No_Service_Available,,,,,,,
325,17501279,216,Macon,No,No,No_Service_Available,,,,,,,
326,17500695,216,Macon,No,No,No_Service_Available,,,,,,,
327,17501298,216,Macon,No,No,No_Service_Available,,,,,,,
328,17500847,216,Macon,No,No,No_Service_Available,,,,,,,
329,17500872,216,Macon,No,No,No_Service_Available,,,,,,,
330,17501315,216,Macon,No,No,No_Service_Available,,,,,,,
331,17501201,216,Macon,No,No,No_Service_Available,,,,,,,
332,17501247,216,Macon,No,No,No_Service_Available,,,,,,,
333,17501281,216,Macon,No,No,No_Service_Available,,,,,,,
334,17501143,216,Macon,No,No,No_Service_Available,,,,,,,
335,17501292,216,Macon,No,No,No_Service_Available,,,,,,,
336,17501308,216,Macon,No,No,No_Service_Available,,,,,,,
337,17501301,216,Macon,No,No,No_Service_Available,,,,,,,
338,17501268,216,Macon,No,No,No_Service_Available,,,,,,,
339,16611701,14,Mayfield,No,No,No_Service_Available,,,,,,,
340,17482142,216,Mc Millan,No,No,No_Service_Available,,,,,,,
341,16609169,14,Middleton Beach,No,No,No_Service_Available,,,,,,,
342,17687832,216,Monroe,No,No,No_Service_Available,,,,,,,
343,16613059,14,Montville,No,No,No_Service_Available,,,,,,,
344,17534788,216,Ojo Caliente,No,No,No_Service_Available,,,,,,,
345,17061237,216,Orlando,No,No,No_Service_Available,,,,,,,
346,17057397,216,Orlando,No,No,No_Service_Available,,,,,,,
347,17058534,216,Orlando,No,No,No_Service_Available,,,,,,,
348,17060320,216,Orlando,No,No,No_Service_Available,,,,,,,
349,17057925,216,Orlando,No,No,No_Service_Available,,,,,,,
350,17060869,216,Orlando,No,No,No_Service_Available,,,,,,,
351,17057591,216,Orlando,No,No,No_Service_Available,,,,,,,
352,17059541,216,Orlando,No,No,No_Service_Available,,,,,,,
353,17064266,216,Orlando,No,No,No_Service_Available,,,,,,,
354,17064405,216,Orlando,No,No,No_Service_Available,,,,,,,
355,17060516,216,Orlando,No,No,No_Service_Available,,,,,,,
356,17059012,216,Orlando,No,No,No_Service_Available,,,,,,,
357,17061296,216,Orlando,No,No,No_Service_Available,,,,,,,
358,17061205,216,Orlando,No,No,No_Service_Available,,,,,,,
359,17064031,216,Orlando,No,No,No_Service_Available,,,,,,,
360,17066603,216,Orlando,No,No,No_Service_Available,,,,,,,
361,17057797,216,Orlando,No,No,No_Service_Available,,,,,,,
362,17061253,216,Orlando,No,No,No_Service_Available,,,,,,,
363,17061231,216,Orlando,No,No,No_Service_Available,,,,,,,
364,16613649,14,Palm Cove,No,No,No_Service_Available,,,,,,,
365,18255631,14,Paynesville,No,No,No_Service_Available,,,,,,,
366,16608483,14,Penola,No,No,No_Service_Available,,,,,,,
367,17580453,216,Pensacola,No,No,No_Service_Available,,,,,,,
368,17580142,216,Pensacola,No,No,No_Service_Available,,,,,,,
369,17580160,216,Pensacola,No,No,No_Service_Available,,,,,,,
370,17580349,216,Pensacola,No,No,No_Service_Available,,,,,,,
371,17580412,216,Pensacola,No,No,No_Service_Available,,,,,,,
372,17580590,216,Pensacola,No,No,No_Service_Available,,,,,,,
373,17580704,216,Pensacola,No,No,No_Service_Available,,,,,,,
374,17579928,216,Pensacola,No,No,No_Service_Available,,,,,,,
375,17579992,216,Pensacola,No,No,No_Service_Available,,,,,,,
376,17580030,216,Pensacola,No,No,No_Service_Available,,,,,,,
377,17580074,216,Pensacola,No,No,No_Service_Available,,,,,,,
378,17580020,216,Pensacola,No,No,No_Service_Available,,,,,,,
379,17580350,216,Pensacola,No,No,No_Service_Available,,,,,,,
380,17580408,216,Pensacola,No,No,No_Service_Available,,,,,,,
381,17579653,216,Pensacola,No,No,No_Service_Available,,,,,,,
382,17580476,216,Pensacola,No,No,No_Service_Available,,,,,,,
383,17580422,216,Pensacola,No,No,No_Service_Available,,,,,,,
384,17580539,216,Pensacola,No,No,No_Service_Available,,,,,,,
385,17580511,216,Pensacola,No,No,No_Service_Available,,,,,,,
386,17580021,216,Pensacola,No,No,No_Service_Available,,,,,,,
387,16604370,14,Phillip Island,No,No,No_Service_Available,,,,,,,
388,17582467,216,Pocatello,No,No,No_Service_Available,,,,,,,
389,17582668,216,Pocatello,No,No,No_Service_Available,,,,,,,
390,17582498,216,Pocatello,No,No,No_Service_Available,,,,,,,
391,17582499,216,Pocatello,No,No,No_Service_Available,,,,,,,
392,17582522,216,Pocatello,No,No,No_Service_Available,,,,,,,
393,17582524,216,Pocatello,No,No,No_Service_Available,,,,,,,
394,17582527,216,Pocatello,No,No,No_Service_Available,,,,,,,
395,17582551,216,Pocatello,No,No,No_Service_Available,,,,,,,
396,17582558,216,Pocatello,No,No,No_Service_Available,,,,,,,
397,17582560,216,Pocatello,No,No,No_Service_Available,,,,,,,
398,17582677,216,Pocatello,No,No,No_Service_Available,,,,,,,
399,17582670,216,Pocatello,No,No,No_Service_Available,,,,,,,
400,17582625,216,Pocatello,No,No,No_Service_Available,,,,,,,
401,17582627,216,Pocatello,No,No,No_Service_Available,,,,,,,
402,17582700,216,Pocatello,No,No,No_Service_Available,,,,,,,
403,17582664,216,Pocatello,No,No,No_Service_Available,,,,,,,
404,17582682,216,Pocatello,No,No,No_Service_Available,,,,,,,
405,17582669,216,Pocatello,No,No,No_Service_Available,,,,,,,
406,18491935,216,Pocatello,No,No,No_Service_Available,,,,,,,
407,17582546,216,Pocatello,No,No,No_Service_Available,,,,,,,
